;Release

N=9000 M=256
Pool   Time : 0.002649
Malloc Time : 0.003847

N=9000 M=504
Pool   Time : 0.005348
Malloc Time : 0.005704

N=9000 M=512
Pool   Time : 0.014309
Malloc Time : 0.006709

N=9000 M=1016
Pool   Time : 0.014452
Malloc Time : 0.010980

N=9000 M=1024
Pool   Time : 0.044515
Malloc Time : 0.010967


N=10000 M=16
Pool   Time : 0.000562
Malloc Time : 0.001849

N=10000 M=16
Pool   Time : 0.000547
Malloc Time : 0.001824

N=10000 M=32
Pool   Time : 0.000680
Malloc Time : 0.002158

N=10000 M=64
Pool   Time : 0.001065
Malloc Time : 0.002364

N=10000 M=128
Pool   Time : 0.001643
Malloc Time : 0.003157

N=10000 M=256
Pool   Time : 0.002932
Malloc Time : 0.004572

N=10000 M=375
Pool   Time : 0.006178
Malloc Time : 0.005237

N=10000 M=504
Pool   Time : 0.006004
Malloc Time : 0.006747

N=90000 M=8
Pool   Time : 0.004030
Malloc Time : 0.013717

N=90000 M=64
Pool   Time : 0.010498
Malloc Time : 0.022651

N=90000 M=375
Pool   Time : 0.241770
Malloc Time : 0.052882

N=90000 M=500
Pool   Time : 0.249433
Malloc Time : 0.114241




===
## 260507
Debug
N       M       Pool    Malloc
11000   512     0.0138  0.0045  0.0028
11000   1024    0.0412  0.0083  0.0054
11000   2048    0.1397  0.0152  0.0104
11000   4096    0.5062  0.0312  0.0225
16000   8       0.0003  0.0016  0.0002
16000   16      0.0004  0.0017  0.0002
16000   32      0.0007  0.0020  0.0003
16000   64      0.0009  0.0023  0.0006
16000   128     0.0018  0.0026  0.0010
16000   256     0.0035  0.0040  0.0020
16000   512     0.0240  0.0072  0.0038
16000   1024    0.0773  0.0115  0.0076
16000   2048    0.2674  0.0218  0.0159
16000   4096    0.9861  0.0400  0.0312
21000   8       0.0004  0.0019  0.0001
21000   16      0.0005  0.0021  0.0003
21000   32      0.0007  0.0024  0.0004
21000   64      0.0012  0.0030  0.0007
21000   128     0.0024  0.0037  0.0013
21000   256     0.0058  0.0053  0.0026
21000   512     0.0377  0.0087  0.0056
21000   1024    0.1328  0.0161  0.0100
21000   2048    0.4778  0.0280  0.0200
21000   4096    1.6769  0.0537  0.0411


N       M       Pool    Malloc  Arena
1000    8       0.0000  0.0001  0.0000
1000    16      0.0000  0.0001  0.0001
1000    32      0.0000  0.0001  0.0001
1000    64      0.0001  0.0002  0.0001
1000    128     0.0001  0.0002  0.0001
1000    256     0.0002  0.0004  0.0002
1000    504     0.0003  0.0005  0.0004
1000    1016    0.0006  0.0008  0.0007
1000    2040    0.0013  0.0016  0.0015
1000    4080    0.0034  0.0025  0.0026
6000    8       0.0001  0.0005  0.0001
6000    16      0.0002  0.0006  0.0001
6000    32      0.0002  0.0006  0.0002
6000    64      0.0004  0.0006  0.0003
6000    128     0.0006  0.0010  0.0006
6000    256     0.0011  0.0016  0.0010
6000    504     0.0028  0.0028  0.0020
6000    1016    0.0054  0.0047  0.0042
6000    2040    0.0152  0.0090  0.0083
6000    4080    0.0476  0.0174  0.0159
11000   8       0.0002  0.0010  0.0001
11000   16      0.0003  0.0011  0.0002
11000   32      0.0004  0.0010  0.0003
11000   64      0.0007  0.0012  0.0005
11000   128     0.0012  0.0014  0.0009
11000   256     0.0027  0.0022  0.0017
11000   504     0.0054  0.0035  0.0033
11000   1016    0.0141  0.0080  0.0080
11000   2040    0.0417  0.0166  0.0147
11000   4080    0.1518  0.0315  0.0293

### linux 

N       M       Pool    Malloc  Arena
1000    8       0.0000  0.0001  0.0000
1000    16      0.0000  0.0000  0.0000
1000    32      0.0000  0.0001  0.0000
1000    64      0.0001  0.0001  0.0001
1000    128     0.0001  0.0001  0.0002
1000    256     0.0002  0.0001  0.0003
1000    512     0.0007  0.0003  0.0006
1000    1024    0.0013  0.0006  0.0014
1000    2048    0.0025  0.0013  0.0026
1000    4096    0.0031  0.0030  0.0062
6000    8       0.0001  0.0003  0.0001
6000    16      0.0001  0.0002  0.0002
6000    32      0.0002  0.0004  0.0003
6000    64      0.0003  0.0004  0.0006
6000    128     0.0006  0.0006  0.0011
6000    256     0.0010  0.0011  0.0023
6000    512     0.0053  0.0022  0.0052
6000    1024    0.0118  0.0043  0.0090
6000    2048    0.0185  0.0107  0.0185
6000    4096    0.0176  0.0174  0.0349
11000   8       0.0002  0.0004  0.0002
11000   16      0.0003  0.0003  0.0003
11000   32      0.0004  0.0009  0.0005
11000   64      0.0006  0.0007  0.0009
11000   128     0.0010  0.0013  0.0018
11000   256     0.0019  0.0030  0.0036
11000   512     0.0080  0.0043  0.0080
11000   1024    0.0152  0.0080  0.0153
11000   2048    0.0347  0.0170  0.0311
11000   4096    0.0356  0.0317  0.0649



N       M       Pool    Malloc  Arena
